债券代码_简称_申购代码,发行规模（亿元）,正股代码_简称,正股价_转股价,转股价值,债现价,转股溢价率,中签号发布日_中签率%,上市日期
113561_正裕转债_754089,2.9,603089_正裕工业,13.2_14.21,92.8923,109.71,18.1%,2020-01-03_0.0114564,2020-02-10
128091_新天转债_072873,1.773,002873_新天药业,17.01_16.49,103.1534,115.281,11.76%,2020-01-02_0.0058986356,2020-01-17
128092_唐人转债_072567,12.428,002567_唐人神,8.29_8.86,93.5666,117,25.04%,2020-01-02_0.0414506941,2020-01-22
128090_汽模转2_072510,4.71,002510_天汽模,6.43_4.19,153.4606,143.166,-6.71%,2019-12-31_0.0170801557,2020-01-23
123039_开润转债_370577,2.23,300577_开润股份,36.09_33.34,108.2484,122.24,12.93%,2019-12-30_0.0083385095,2020-01-23
128089_麦米转债_072851,6.55,002851_麦格米特,26.13_20.31,128.6558,139.064,8.09%,2019-12-30_0.0160361895,2020-01-21
123038_联得转债_370545,2,300545_联得装备,42.55_25.39,167.5857,161.28,-3.76%,2019-12-27_0.0098203772,2020-01-22
113030_东风转债_783515,2.95328,601515_东风股份,6.21_6.9,90,114.89,27.66%,2019-12-26_0.01065442,2020-01-20
128088_深南转债_072916,15.2,002916_深南电路,223.1_149.25,149.4807,166.739,11.55%,2019-12-26_0.0641932526,2020-01-16
113559_永创转债_754901,5.1217,603901_永创智能,10.22_10.39,98.3638,115.48,17.4%,2019-12-25_0.01443387,2020-01-10
113558_日月转债_754218,12,603218_日月股份,20.46_19.68,103.9634,126.48,21.66%,2019-12-25_0.03228866,2020-01-14
110065_淮矿转债_733985,27.574,600985_淮北矿业,8.7_9.93,87.6133,114.54,30.73%,2019-12-25_0.01679922,2020-01-13
113556_至纯转债_754690,3.56,603690_至纯科技,44.71_29.47,151.7136,157.4,3.75%,2019-12-24_0.00686213,2020-01-09
110064_建工转债_733939,16.6,600939_重庆建工,4.19_4.65,90.1075,114.65,27.24%,2019-12-24_0.07110464,2020-01-16
113555_振德转债_754301,4.4,603301_振德医疗,35.35_20.04,176.3972,150.53,-14.66%,2019-12-23_0.00667714,2020-01-14
123037_新莱转债_370260,2.8,300260_新莱应材,13.86_11.18,123.9714,126.48,2.02%,2019-12-23_0.0133938179,2020-01-22
113557_森特转债_754098,6,603098_森特股份,9.54_10.26,92.9825,112.67,21.17%,2019-12-23_0.00506398,2020-01-10
128086_国轩转债_072074,18.5,002074_国轩高科,26.53_12.21,217.2809,183.81,-15.4%,2019-12-19_0.0183184434,2020-01-10
128087_孚日转债_072083,6.5,002083_孚日股份,6.55_6.39,102.5039,114.789,11.99%,2019-12-19_0.0229392014,2020-01-16
113029_明阳转债_783615,17,601615_明阳智能,11.76_12.66,92.891,119.24,28.37%,2019-12-18_0.04731255,2020-01-07
128084_木森转债_072745,26.600177,002745_木林森,14.17_12.95,109.4208,127.554,16.57%,2019-12-18_0.0236339824,2020-01-10
113554_仙鹤转债_754733,12.5,603733_仙鹤股份,15.61_13.67,114.1917,123.99,8.58%,2019-12-18_0.01089568,2020-01-10
128085_鸿达转债_072002,24.2678,002002_鸿达兴业,4.91_3.98,123.3668,126,2.13%,2019-12-18_0.030341606,2020-01-08
113553_金牌转债_754180,3.92,603180_金牌厨柜,63.93_62.69,101.978,120.98,18.63%,2019-12-17_0.00472987,2020-01-07
110063_鹰19转债_733567,18.6,600567_山鹰纸业,3.3_3.3,100,119.78,19.78%,2019-12-17_0.09184936,2020-01-03
128083_新北转债_072376,8.77,002376_新北洋,12.99_11.9,109.1597,129.101,18.27%,2019-12-16_0.0353480322,2019-12-31
123036_先导转债_370450,10,300450_先导智能,48.48_39.15,123.8314,152.073,22.81%,2019-12-13_0.0348628059,2020-01-10
128082_华锋转债_072806,3.524,002806_华锋股份,12.91_13.17,98.0258,111.497,13.74%,2019-12-06_0.0345513567,2020-01-06
110062_烽火转债_733498,30.8835,600498_烽火通信,25.78_25.99,99.192,127.85,28.89%,2019-12-04_0.01999166,2019-12-25
113552_克来转债_754960,1.8,603960_克来机电,36.9_27.86,132.448,139.65,5.44%,2019-12-04_0.00265767,2019-12-19
128081_海亮转债_072203,31.5,002203_海亮股份,9.3_9.83,94.6083,112.799,19.23%,2019-11-25_0.0225746796,2019-12-16
128080_顺丰转债_072352,58,002352_顺丰控股,47.49_40.41,117.5204,135.4,15.21%,2019-11-20_0.0180704915,2019-12-09
113550_常汽转债_754035,9.92424,603035_常熟汽饰,15.84_9.93,159.5166,152.77,-4.23%,2019-11-20_0.04359224,2019-12-12
113551_福特转债_754806,11,603806_福斯特,52.82_41.04,128.7037,144.35,12.16%,2019-11-20_0.00686193,2019-12-11
113549_白电转债_754861,8.8,603861_白云电器,7.83_8.99,87.0968,107.9,23.89%,2019-11-19_0.03340617,2019-12-11
123035_利德转债_370296,8,300296_利亚德,7.64_7.04,108.5227,136.1,25.41%,2019-11-18_0.0517293328,2019-12-09
110061_川投转债_733674,40,600674_川投能源,9.02_9.92,90.9274,118.15,29.94%,2019-11-13_0.01142416,2019-12-02
123034_通光转债_370265,2.97,300265_通光线缆,7.14_7.98,89.4737,107.43,20.07%,2019-11-06_0.0216651437,2019-11-28
123033_金力转债_370748,4.35,300748_金力永磁,36.49_41.2,88.568,117.148,32.27%,2019-11-05_0.0400169411,2019-11-25
113548_石英转债_754688,3.6,603688_石英股份,32.56_15.25,213.5082,193.19,-9.52%,2019-10-30_0.01816276,2019-11-22
110059_浦发转债_733000,500,600000_浦发银行,11.14_15.05,74.0199,107.46,45.18%,2019-10-30_0.3016799,2019-11-15
110060_天路转债_733326,10.86988,600326_西藏天路,6.85_7.24,94.6133,118.02,24.74%,2019-10-30_0.0190581,2019-11-28
127014_北方转债_070065,5.7821,000065_北方国际,7.85_8.84,88.8009,115.81,30.42%,2019-10-28_0.0237836701,2019-11-21
113547_索发转债_754612,9.45,603612_索通发展,12.56_10.67,117.7132,129.43,9.95%,2019-10-28_0.02272221,2019-11-22
113546_迪贝转债_754320,2.2993,603320_迪贝电气,16.58_18.45,89.8645,107.34,19.45%,2019-10-25_0.01479018,2019-11-21
128078_太极转债_072368,10,002368_太极股份,48.93_31.61,154.7928,165.611,6.99%,2019-10-23_0.0428787602,2019-11-08
128079_英联转债_072846,2.14,002846_英联股份,21.64_13.54,159.8227,140.4,-12.15%,2019-10-23_0.0146135185,2019-11-21
128077_华夏转债_072928,7.9,002928_华夏航空,12.41_10.52,117.9658,127.297,7.91%,2019-10-18_0.0202864341,2019-11-07
128076_金轮转债_072722,2.14,002722_金轮股份,13.53_14.96,90.4412,107.7,19.08%,2019-10-16_0.015673114,2019-11-08
113545_金能转债_754113,15,603113_金能科技,10.49_11.55,92.0175,113.24,23.06%,2019-10-16_0.03463477,2019-11-07
123032_万里转债_370591,1.8029,300591_万里马,5.61_6.92,81.0694,106.542,31.42%,2019-10-15_0.0246910339,2019-10-31
128075_远东转债_072406,8.937,002406_远东传动,5.54_5.79,95.6822,116.84,22.11%,2019-09-25_0.0162070033,2019-10-31
128074_游族转债_072174,11.5,002174_游族网络,28.68_17.06,168.1125,178.101,5.94%,2019-09-25_0.0934667289,2019-10-21
113544_桃李转债_754866,10,603866_桃李面包,38.07_47.54,80.0799,115,43.61%,2019-09-24_0.03136336,2019-10-15
123031_晶瑞转债_370655,1.85,300655_晶瑞股份,56.2_18.38,305.7671,261.502,-14.48%,2019-09-02_0.0454505144,2019-09-26
128073_哈尔转债_072615,3,002615_哈尔斯,5.04_5.8,86.8966,108.404,24.75%,2019-08-26_0.0383235944,2019-09-11
123030_九洲转债_370040,3.08,300040_九洲电气,5.59_5.7,98.0702,112.099,14.3%,2019-08-22_0.0412631796,2019-09-12
128072_翔鹭转债_072842,3.019223,002842_翔鹭钨业,11.06_15.36,72.0052,108.7,50.96%,2019-08-22_0.0311181951,2019-09-16
113543_欧派转债_754833,14.95,603833_欧派家居,116.64_101.46,114.9616,129,12.21%,2019-08-20_0.05584351,2019-09-04
128071_合兴转债_072228,5.9575,002228_合兴包装,3.76_4.38,85.8447,111.315,29.67%,2019-08-20_0.0859994534,2019-09-16
123029_英科转债_370677,4.7,300677_英科医疗,34.38_16.25,211.5692,200.1,-5.42%,2019-08-20_0.0396417806,2019-09-10
113542_好客转债_754898,6.3,603898_好莱客,15.2_16.62,91.4561,114.88,25.61%,2019-08-05_0.05555881,2019-08-23
113541_荣晟转债_754165,3.3,603165_荣晟环保,16.82_18.72,89.8504,107.94,20.13%,2019-07-25_0.06344458,2019-08-13
113540_南威转债_754636,6.6,603636_南威软件,15.48_10.13,152.8134,153.3,0.32%,2019-07-17_0.06389058,2019-08-05
113539_圣达转债_754079,2.99136,603079_圣达生物,51.59_28.78,179.2564,176.87,-1.33%,2019-07-05_0.03083319,2019-07-26
128070_智能转债_072877,2.3,002877_智能自控,7.95_9.55,83.2461,106.6,28.05%,2019-07-04_0.0250998849,2019-07-23
113538_安图转债_754658,6.82979,603658_安图生物,-_64.11,0,0,0%,2019-07-02_0.0347501,2019-07-22
128069_华森转债_072907,3,002907_华森制药,18.66_18.11,103.208,117,13.36%,2019-06-26_0.0185003047,2019-07-11
123028_清水转债_370437,4.9,300437_清水源,11.39_11.95,95.3138,113.235,18.8%,2019-06-21_0.0858156853,2019-07-15
113028_环境转债_783200,21.7,601200_上海环境,11.74_10.44,112.4521,129.25,14.94%,2019-06-20_0.03056044,2019-07-08
113027_华钰转债_783020,6.4,601020_华钰矿业,8.29_10.17,81.5143,106.92,31.17%,2019-06-18_0.07222537,2019-07-10
123027_蓝晓转债_370487,3.4,300487_蓝晓科技,40.37_29.59,136.4773,137.261,0.57%,2019-06-13_0.0223459237,2019-07-04
113537_文灿转债_754348,8,603348_文灿股份,25.54_19.93,128.1485,134.87,5.25%,2019-06-12_0.10303528,2019-07-05
123026_中环转债_370692,2.9,300692_中环环保,12.74_12.31,103.4931,115.68,11.78%,2019-06-12_0.0540608706,2019-07-01
128068_和而转债_072402,5.47,002402_和而泰,18.04_9.09,198.2417,0,-34.91%,2019-06-06_0.0829312091,2019-07-01
113536_三星转债_754578,1.91565,603578_三星新材,22.6_19.75,114.4304,120.99,5.73%,2019-06-04_0.03050946,2019-06-24
113535_大业转债_754278,5,603278_大业股份,8.27_12.56,65.8439,102.7,55.97%,2019-05-13_0.03462721,2019-06-03
128067_一心转债_072727,6.026392,002727_一心堂,22.68_27.28,83.1378,115.6,39.05%,2019-04-23_0.0087007808,2019-05-17
128066_亚泰转债_072811,4.8,002811_亚泰国际,13.82_17.49,93.3784,110.459,18.29%,2019-04-19_0.0085050847,2019-05-14
110058_永鼎转债_733105,9.8,600105_永鼎股份,4.18_6.5,81.9608,106.63,30.1%,2019-04-18_0.01438125,2019-05-08
128065_雅化转债_072497,8,002497_雅化集团,10.8_8.98,120.5357,131.8,9.35%,2019-04-18_0.0631187872,2019-05-10
127013_创维转债_070810,10.4,000810_创维数字,14.95_11.56,130.1131,144.75,11.25%,2019-04-17_0.026057449886,2019-05-16
113026_核能转债_783985,78,601985_中国核电,4.77_6.32,76.9355,107.96,40.33%,2019-04-17_0.03094856,2019-05-08
113025_明泰转债_783677,18.3911,601677_明泰铝业,11.56_11.49,102.3009,119.62,16.93%,2019-04-12_0.03045862,2019-05-07
113534_鼎胜转债_754876,12.54,603876_鼎胜新材,15.47_20.8,101.2435,118.17,16.72%,2019-04-11_0.02076471,2019-04-30
128064_司尔转债_072538,8,002538_司尔特,4.89_6.25,79.5122,106.93,34.48%,2019-04-10_0.020366952600000002,2019-05-07
113024_核建转债_783611,29.9625,601611_中国核建,6.52_9.93,66.0588,107,61.98%,2019-04-10_0.01990481,2019-04-26
113533_参林转债_754233,10,603233_大参林,-_48.05,0,0,0%,2019-04-08_0.05458181,2019-04-24
128063_未来转债_072631,6.3,002631_德尔未来,8.42_8.74,97.1165,115.94,19.38%,2019-04-08_0.0153655871,2019-04-24
128062_亚药转债_072370,9.65,002370_亚太药业,7.17_16.3,44.1231,91.723,107.88%,2019-04-04_0.0288420421,2019-04-24
113532_海环转债_754817,4.6,603817_海峡环保,6.2_7.8,80,107.81,34.76%,2019-04-04_0.01665937,2019-04-24
110057_现代转债_733420,16.1594,600420_现代制药,9.77_10.09,97.7978,118.19,20.85%,2019-04-03_0.0356851,2019-04-30
123025_精测转债_370567,3.75,300567_精测电子,74.95_75.88,149.1542,155.123,4%,2019-04-02_0.0208437619,2019-04-19
113531_百姓转债_754883,3.27,603883_老百姓,70.33_60.59,117.0411,135.4,15.69%,2019-04-02_0.03312251,2019-04-22
128061_启明转债_072439,10.45,002439_启明星辰,44.25_28.33,156.4157,155.921,-0.32%,2019-03-29_0.0139363649,2019-04-24
113530_大丰转债_754081,6.3,603081_大丰实业,13.59_16.88,81.0859,112.15,38.31%,2019-03-29_0.0213012,2019-04-18
128060_中装转债_072822,5.25,002822_中装建设,10.69_6.24,172.6979,0,-3.53%,2019-03-28_0.0508826699,2019-04-15
127012_招路转债_071965,50,001965_招商公路,7.55_9.34,83.0583,113.5,36.65%,2019-03-26_0.0700271066,2019-04-30
123024_岱勒转债_370700,2.1,300700_岱勒新材,17.57_24.9,70.5622,102.711,45.56%,2019-03-25_0.01616346,2019-04-17
123023_迪森转债_370335,6,300335_迪森股份,5.21_7.39,72.4618,103.62,43%,2019-03-22_0.0215641366,2019-04-16
110056_亨通转债_733487,17.33,600487_亨通光电,16.45_21.79,104.9107,123,17.24%,2019-03-22_0.01806322,2019-04-16
110054_通威转债_733438,50,600438_通威股份,19.35_12.44,157.5733,157.9,0.21%,2019-03-20_0.01109199,2019-04-10
123022_长信转债_370088,12.3,300088_长信科技,13.2_6.38,211.2,220.24,4.28%,2019-03-20_0.010725538,2019-04-10
110055_伊力转债_733197,8.76,600197_伊力特,14.31_17.6,82.9565,112.3,35.37%,2019-03-19_0.01811719,2019-04-04
110053_苏银转债_733919,200,600919_江苏银行,6.62_7.9,87.5661,115.37,31.75%,2019-03-18_0.03898776,2019-04-03
113022_浙商转债_783878,35,601878_浙商证券,10.81_12.53,86.7576,118.52,36.61%,2019-03-14_0.01731003,2019-03-28
113529_绝味转债_754517,10,603517_绝味食品,-_40.52,0,0,0%,2019-03-13_0.00599035,2019-04-02
128059_视源转债_072841,9.418304,002841_视源股份,89.06_76.25,117.6175,139.165,18.32%,2019-03-13_0.0200147652,2019-04-02
127011_中鼎转2_070887,12,000887_中鼎股份,10.14_11.99,86.0051,117.404,36.51%,2019-03-12_0.0083065079,2019-04-04
128058_拓邦转债_072139,5.73,002139_拓邦股份,6.21_5.64,112.0939,130.2,16.15%,2019-03-11_0.0621462404,2019-04-08
110052_贵广转债_733996,16,600996_贵广网络,9.1_8.13,113.1841,124.33,9.85%,2019-03-07_0.01210083,2019-03-29
128057_博彦转债_072649,5.758152,002649_博彦科技,11.76_8.9,133.4847,136.1,1.96%,2019-03-07_0.0511156998,2019-04-02
113021_中信转债_783998,400,601998_中信银行,5.64_7.45,78.1163,110.98,42.07%,2019-03-06_0.01819129,2019-03-19
123021_万信转2_370168,12,300168_万达信息,20.57_13.62,151.25,154.09,1.88%,2019-03-06_0.017068646,2019-03-25
113528_长城转债_754897,6.34,603897_长城科技,17.65_24.18,73.4499,104.25,41.93%,2019-03-05_0.03760017,2019-03-20
123020_富祥转债_370497,4.2,300497_富祥股份,20.53_18.05,137.5084,138.888,1%,2019-03-05_0.0411827809,2019-03-29
110051_中天转债_733522,39.6512,600522_中天科技,8.31_10.29,81.5505,111.95,37.28%,2019-03-04_0.01953615,2019-03-22
128056_今飞转债_072863,3.68,002863_今飞凯达,5.09_6.8,75.0737,103,37.2%,2019-03-04_0.0818663601,2019-03-22
128055_长青转2_072391,9.138,002391_长青股份,9.86_11.41,133.0634,134.3,0.93%,2019-03-01_0.0268435724,2019-04-03
